Segments,VariableName,VariableCount
Young Affluent Mobiles,"Household Income: $10,000-$19,999 ",0
Upscale Matures,"Household Income: $10,000-$19,999 ",0
Elite Households,"Household Income: $10,000-$19,999 ",0
Young Upscale Families,"Household Income: $10,000-$19,999 ",0
Elder Midscale Class,"Household Income: $10,000-$19,999 ",6207
Comfortable Retirees,"Household Income: $10,000-$19,999 ",1656994
Mass Markets,"Household Income: $10,000-$19,999 ",0
Young Urban Masses,"Household Income: $10,000-$19,999 ",0
Diverse Workers,"Household Income: $10,000-$19,999 ",3398974
Modest Families,"Household Income: $10,000-$19,999 ",1137678
Well-heeled Affluents,"Household Income: $100,000-$149,999 ",50872
Prosperous Acheivers,"Household Income: $100,000-$149,999 ",2342017
Young Affluent Mobiles,"Household Income: $100,000-$149,999 ",1414528
Upscale Matures,"Household Income: $100,000-$149,999 ",73230
Elite Households,"Household Income: $100,000-$149,999 ",1981216
Young Upscale Families,"Household Income: $100,000-$149,999 ",1839095
Elder Midscale Class,"Household Income: $100,000-$149,999 ",13642
Comfortable Retirees,"Household Income: $100,000-$149,999 ",0
Mass Markets,"Household Income: $100,000-$149,999 ",2481
Young Urban Masses,"Household Income: $100,000-$149,999 ",38476
Diverse Workers,"Household Income: $100,000-$149,999 ",0
Modest Families,"Household Income: $100,000-$149,999 ",0
Well-heeled Affluents,"Household Income: $150,000-$199,999 ",1320122
Prosperous Acheivers,"Household Income: $150,000-$199,999 ",341265
Young Affluent Mobiles,"Household Income: $150,000-$199,999 ",985481
Upscale Matures,"Household Income: $150,000-$199,999 ",0
Elite Households,"Household Income: $150,000-$199,999 ",959042
Young Upscale Families,"Household Income: $150,000-$199,999 ",40925
Elder Midscale Class,"Household Income: $150,000-$199,999 ",2481
Comfortable Retirees,"Household Income: $150,000-$199,999 ",0
Mass Markets,"Household Income: $150,000-$199,999 ",0
Young Urban Masses,"Household Income: $150,000-$199,999 ",0
Diverse Workers,"Household Income: $150,000-$199,999 ",0
Modest Families,"Household Income: $150,000-$199,999 ",0
Well-heeled Affluents,"Household Income: $20,000-$29,999 ",0
Prosperous Acheivers,"Household Income: $20,000-$29,999 ",0
Young Affluent Mobiles,"Household Income: $20,000-$29,999 ",0
Upscale Matures,"Household Income: $20,000-$29,999 ",1241
Elite Households,"Household Income: $20,000-$29,999 ",0
Young Upscale Families,"Household Income: $20,000-$29,999 ",0
Elder Midscale Class,"Household Income: $20,000-$29,999 ",1294322
Comfortable Retirees,"Household Income: $20,000-$29,999 ",457656
Mass Markets,"Household Income: $20,000-$29,999 ",0
Young Urban Masses,"Household Income: $20,000-$29,999 ",709791
Diverse Workers,"Household Income: $20,000-$29,999 ",3531669
Modest Families,"Household Income: $20,000-$29,999 ",571957
Well-heeled Affluents,"Household Income: $200,000-$249,999 ",521100
Prosperous Acheivers,"Household Income: $200,000-$249,999 ",138979
Young Affluent Mobiles,"Household Income: $200,000-$249,999 ",359941
Upscale Matures,"Household Income: $200,000-$249,999 ",0
Elite Households,"Household Income: $200,000-$249,999 ",369714
Young Upscale Families,"Household Income: $200,000-$249,999 ",8682
Elder Midscale Class,"Household Income: $200,000-$249,999 ",2481
Comfortable Retirees,"Household Income: $200,000-$249,999 ",0
Mass Markets,"Household Income: $200,000-$249,999 ",0
Young Urban Masses,"Household Income: $200,000-$249,999 ",0
Diverse Workers,"Household Income: $200,000-$249,999 ",0
Modest Families,"Household Income: $200,000-$249,999 ",0
Well-heeled Affluents,"Household Income: $250,000 or More ",677423
Prosperous Acheivers,"Household Income: $250,000 or More ",196089
Young Affluent Mobiles,"Household Income: $250,000 or More ",333877
Upscale Matures,"Household Income: $250,000 or More ",0
Elite Households,"Household Income: $250,000 or More ",342401
Young Upscale Families,"Household Income: $250,000 or More ",9922
Elder Midscale Class,"Household Income: $250,000 or More ",0
Comfortable Retirees,"Household Income: $250,000 or More ",0
Mass Markets,"Household Income: $250,000 or More ",0
Young Urban Masses,"Household Income: $250,000 or More ",0
Diverse Workers,"Household Income: $250,000 or More ",0
Modest Families,"Household Income: $250,000 or More ",0
Well-heeled Affluents,"Household Income: $30,000-$39,999 ",0
Prosperous Acheivers,"Household Income: $30,000-$39,999 ",0
Young Affluent Mobiles,"Household Income: $30,000-$39,999 ",0
Upscale Matures,"Household Income: $30,000-$39,999 ",89326
Elite Households,"Household Income: $30,000-$39,999 ",0
Young Upscale Families,"Household Income: $30,000-$39,999 ",0
Elder Midscale Class,"Household Income: $30,000-$39,999 ",1163995
Comfortable Retirees,"Household Income: $30,000-$39,999 ",418183
Mass Markets,"Household Income: $30,000-$39,999 ",1298049
Young Urban Masses,"Household Income: $30,000-$39,999 ",1865062
Diverse Workers,"Household Income: $30,000-$39,999 ",936839
Modest Families,"Household Income: $30,000-$39,999 ",0
Well-heeled Affluents,"Household Income: $40,000-$49,999 ",0
Prosperous Acheivers,"Household Income: $40,000-$49,999 ",0
Young Affluent Mobiles,"Household Income: $40,000-$49,999 ",0
Upscale Matures,"Household Income: $40,000-$49,999 ",366021
Elite Households,"Household Income: $40,000-$49,999 ",0
Young Upscale Families,"Household Income: $40,000-$49,999 ",0
Elder Midscale Class,"Household Income: $40,000-$49,999 ",1029701
Comfortable Retirees,"Household Income: $40,000-$49,999 ",285408
Mass Markets,"Household Income: $40,000-$49,999 ",2465467
Young Urban Masses,"Household Income: $40,000-$49,999 ",853744
Diverse Workers,"Household Income: $40,000-$49,999 ",0
Modest Families,"Household Income: $40,000-$49,999 ",0
Well-heeled Affluents,"Household Income: $50,000-$74,999 ",0
Prosperous Acheivers,"Household Income: $50,000-$74,999 ",93000
Young Affluent Mobiles,"Household Income: $50,000-$74,999 ",743044
Upscale Matures,"Household Income: $50,000-$74,999 ",1434562
Elite Households,"Household Income: $50,000-$74,999 ",0
Young Upscale Families,"Household Income: $50,000-$74,999 ",662593
Elder Midscale Class,"Household Income: $50,000-$74,999 ",1465941
Comfortable Retirees,"Household Income: $50,000-$74,999 ",64532
Mass Markets,"Household Income: $50,000-$74,999 ",4393154
Young Urban Masses,"Household Income: $50,000-$74,999 ",2528545
Diverse Workers,"Household Income: $50,000-$74,999 ",0
Modest Families,"Household Income: $50,000-$74,999 ",0
Well-heeled Affluents,"Household Income: $75,000-$99,999 ",0
Prosperous Acheivers,"Household Income: $75,000-$99,999 ",438975
Young Affluent Mobiles,"Household Income: $75,000-$99,999 ",1570719
Upscale Matures,"Household Income: $75,000-$99,999 ",912011
Elite Households,"Household Income: $75,000-$99,999 ",0
Young Upscale Families,"Household Income: $75,000-$99,999 ",3704751
Elder Midscale Class,"Household Income: $75,000-$99,999 ",16123
Comfortable Retirees,"Household Income: $75,000-$99,999 ",0
Mass Markets,"Household Income: $75,000-$99,999 ",400682
Young Urban Masses,"Household Income: $75,000-$99,999 ",410819
Diverse Workers,"Household Income: $75,000-$99,999 ",0
Modest Families,"Household Income: $75,000-$99,999 ",0
Well-heeled Affluents,"Household Income: Under $10,000 ",0
Prosperous Acheivers,"Household Income: Under $10,000 ",0
Young Affluent Mobiles,"Household Income: Under $10,000 ",0
Upscale Matures,"Household Income: Under $10,000 ",0
Elite Households,"Household Income: Under $10,000 ",0
Young Upscale Families,"Household Income: Under $10,000 ",0
Elder Midscale Class,"Household Income: Under $10,000 ",1242
Comfortable Retirees,"Household Income: Under $10,000 ",478650
Mass Markets,"Household Income: Under $10,000 ",0
Young Urban Masses,"Household Income: Under $10,000 ",0
Diverse Workers,"Household Income: Under $10,000 ",1260866
Modest Families,"Household Income: Under $10,000 ",2071821
Well-heeled Affluents,Household Size: 1 Person ,217123
Prosperous Acheivers,Household Size: 1 Person ,575557
Young Affluent Mobiles,Household Size: 1 Person ,1232068
Upscale Matures,Household Size: 1 Person ,863615
Elite Households,Household Size: 1 Person ,191068
Young Upscale Families,Household Size: 1 Person ,672460
Elder Midscale Class,Household Size: 1 Person ,2212225
Comfortable Retirees,Household Size: 1 Person ,2227562
Mass Markets,Household Size: 1 Person ,1611691
Young Urban Masses,Household Size: 1 Person ,1837742
Diverse Workers,Household Size: 1 Person ,3930258
Modest Families,Household Size: 1 Person ,1480066
Well-heeled Affluents,Household Size: 2 People ,1085620
Prosperous Acheivers,Household Size: 2 People ,2069217
Young Affluent Mobiles,Household Size: 2 People ,2935917
Upscale Matures,Household Size: 2 People ,1742269
Elite Households,Household Size: 2 People ,750539
Young Upscale Families,Household Size: 2 People ,1899513
Elder Midscale Class,Household Size: 2 People ,2260423
Comfortable Retirees,Household Size: 2 People ,851018
Mass Markets,Household Size: 2 People ,2239430
Young Urban Masses,Household Size: 2 People ,1877337
Diverse Workers,Household Size: 2 People ,2485606
Modest Families,Household Size: 2 People ,820064
Well-heeled Affluents,Household Size: 3 or 4 People ,1031035
Prosperous Acheivers,Household Size: 3 or 4 People ,771586
Young Affluent Mobiles,Household Size: 3 or 4 People ,1111804
Upscale Matures,Household Size: 3 or 4 People ,251894
Elite Households,Household Size: 3 or 4 People ,1961427
Young Upscale Families,Household Size: 3 or 4 People ,2727725
Elder Midscale Class,Household Size: 3 or 4 People ,431704
Comfortable Retirees,Household Size: 3 or 4 People ,222059
Mass Markets,Household Size: 3 or 4 People ,3202375
Young Urban Masses,Household Size: 3 or 4 People ,1894728
Diverse Workers,Household Size: 3 or 4 People ,1869983
Modest Families,Household Size: 3 or 4 People ,1076879
Well-heeled Affluents,Household Size: 5+ People ,235738
Prosperous Acheivers,Household Size: 5+ People ,136446
Young Affluent Mobiles,Household Size: 5+ People ,124079
Upscale Matures,Household Size: 5+ People ,18611
Elite Households,Household Size: 5+ People ,749338
Young Upscale Families,Household Size: 5+ People ,967512
Elder Midscale Class,Household Size: 5+ People ,88058
Comfortable Retirees,Household Size: 5+ People ,58301
Mass Markets,Household Size: 5+ People ,1506339
Young Urban Masses,Household Size: 5+ People ,796631
Diverse Workers,Household Size: 5+ People ,843744
Modest Families,Household Size: 5+ People ,404448
Well-heeled Affluents,Householder Age: 18-24 ,1241
Prosperous Acheivers,Householder Age: 18-24 ,0
Young Affluent Mobiles,Householder Age: 18-24 ,179931
Upscale Matures,Householder Age: 18-24 ,0
Elite Households,Householder Age: 18-24 ,0
Young Upscale Families,Householder Age: 18-24 ,8679
Elder Midscale Class,Householder Age: 18-24 ,0
Comfortable Retirees,Householder Age: 18-24 ,0
Mass Markets,Householder Age: 18-24 ,209630
Young Urban Masses,Householder Age: 18-24 ,728404
Diverse Workers,Householder Age: 18-24 ,418136
Modest Families,Householder Age: 18-24 ,832477
Well-heeled Affluents,Householder Age: 18-34 ,14888
Prosperous Acheivers,Householder Age: 18-34 ,2482
Young Affluent Mobiles,Householder Age: 18-34 ,4568920
Upscale Matures,Householder Age: 18-34 ,0
Elite Households,Householder Age: 18-34 ,689963
Young Upscale Families,Householder Age: 18-34 ,709216
Elder Midscale Class,Householder Age: 18-34 ,2483
Comfortable Retirees,Householder Age: 18-34 ,0
Mass Markets,Householder Age: 18-34 ,3651844
Young Urban Masses,Householder Age: 18-34 ,6187360
Diverse Workers,Householder Age: 18-34 ,2900833
Modest Families,Householder Age: 18-34 ,3781500
Well-heeled Affluents,Householder Age: 18-49 ,194784
Prosperous Acheivers,Householder Age: 18-49 ,48399
Young Affluent Mobiles,Householder Age: 18-49 ,4377897
Upscale Matures,Householder Age: 18-49 ,0
Elite Households,Householder Age: 18-49 ,2543554
Young Upscale Families,Householder Age: 18-49 ,3164106
Elder Midscale Class,Householder Age: 18-49 ,21103
Comfortable Retirees,Householder Age: 18-49 ,0
Mass Markets,Householder Age: 18-49 ,5500331
Young Urban Masses,Householder Age: 18-49 ,4512006
Diverse Workers,Householder Age: 18-49 ,3451906
Modest Families,Householder Age: 18-49 ,3150002
Well-heeled Affluents,Householder Age: 25-34 ,7444
Prosperous Acheivers,Householder Age: 25-34 ,1241
Young Affluent Mobiles,Householder Age: 25-34 ,2104529
Upscale Matures,Householder Age: 25-34 ,0
Elite Households,Householder Age: 25-34 ,344982
Young Upscale Families,Householder Age: 25-34 ,345930
Elder Midscale Class,Householder Age: 25-34 ,1242
Comfortable Retirees,Householder Age: 25-34 ,0
Mass Markets,Householder Age: 25-34 ,1616293
Young Urban Masses,Householder Age: 25-34 ,2365276
Diverse Workers,Householder Age: 25-34 ,1031040
Modest Families,Householder Age: 25-34 ,1058273
Well-heeled Affluents,Householder Age: 25-54 ,1021108
Prosperous Acheivers,Householder Age: 25-54 ,561878
Young Affluent Mobiles,Householder Age: 25-54 ,4652096
Upscale Matures,Householder Age: 25-54 ,0
Elite Households,Householder Age: 25-54 ,3120303
Young Upscale Families,Householder Age: 25-54 ,4185252
Elder Midscale Class,Householder Age: 25-54 ,70758
Comfortable Retirees,Householder Age: 25-54 ,0
Mass Markets,Householder Age: 25-54 ,6480725
Young Urban Masses,Householder Age: 25-54 ,4549028
Diverse Workers,Householder Age: 25-54 ,4359192
Modest Families,Householder Age: 25-54 ,2524701
Well-heeled Affluents,Householder Age: 35-44 ,62033
Prosperous Acheivers,Householder Age: 35-44 ,16133
Young Affluent Mobiles,Householder Age: 35-44 ,1383618
Upscale Matures,Householder Age: 35-44 ,0
Elite Households,Householder Age: 35-44 ,1423224
Young Upscale Families,Householder Age: 35-44 ,1544117
Elder Midscale Class,Householder Age: 35-44 ,7448
Comfortable Retirees,Householder Age: 35-44 ,0
Mass Markets,Householder Age: 35-44 ,2510406
Young Urban Masses,Householder Age: 35-44 ,848792
Diverse Workers,Householder Age: 35-44 ,1101766
Modest Families,Householder Age: 35-44 ,849846
Well-heeled Affluents,Householder Age: 35-54 ,1013664
Prosperous Acheivers,Householder Age: 35-54 ,560637
Young Affluent Mobiles,Householder Age: 35-54 ,2546327
Upscale Matures,Householder Age: 35-54 ,0
Elite Households,Householder Age: 35-54 ,2775321
Young Upscale Families,Householder Age: 35-54 ,3839322
Elder Midscale Class,Householder Age: 35-54 ,69517
Comfortable Retirees,Householder Age: 35-54 ,0
Mass Markets,Householder Age: 35-54 ,4864432
Young Urban Masses,Householder Age: 35-54 ,2182511
Diverse Workers,Householder Age: 35-54 ,3326911
Modest Families,Householder Age: 35-54 ,1466429
Well-heeled Affluents,Householder Age: 45-54 ,951631
Prosperous Acheivers,Householder Age: 45-54 ,545745
Young Affluent Mobiles,Householder Age: 45-54 ,1163949
Upscale Matures,Householder Age: 45-54 ,0
Elite Households,Householder Age: 45-54 ,1352098
Young Upscale Families,Householder Age: 45-54 ,2293966
Elder Midscale Class,Householder Age: 45-54 ,62069
Comfortable Retirees,Householder Age: 45-54 ,0
Mass Markets,Householder Age: 45-54 ,2355268
Young Urban Masses,Householder Age: 45-54 ,1333719
Diverse Workers,Householder Age: 45-54 ,2223905
Modest Families,Householder Age: 45-54 ,616583
Well-heeled Affluents,Householder Age: 50+ ,2374732
Prosperous Acheivers,Householder Age: 50+ ,3501925
Young Affluent Mobiles,Householder Age: 50+ ,1027212
Upscale Matures,Householder Age: 50+ ,2876389
Elite Households,Householder Age: 50+ ,1107578
Young Upscale Families,Householder Age: 50+ ,3103103
Elder Midscale Class,Householder Age: 50+ ,4973789
Comfortable Retirees,Householder Age: 50+ ,3360181
Mass Markets,Householder Age: 50+ ,3058261
Young Urban Masses,Householder Age: 50+ ,1894429
Diverse Workers,Householder Age: 50+ ,5676442
Modest Families,Householder Age: 50+ ,631454
Well-heeled Affluents,Householder Age: 55+ ,1548407
Prosperous Acheivers,Householder Age: 55+ ,2988447
Young Affluent Mobiles,Householder Age: 55+ ,573082
Upscale Matures,Householder Age: 55+ ,2876389
Elite Households,Householder Age: 55+ ,530829
Young Upscale Families,Householder Age: 55+ ,2073279
Elder Midscale Class,Householder Age: 55+ ,4924134
Comfortable Retirees,Householder Age: 55+ ,3360181
Mass Markets,Householder Age: 55+ ,1868237
Young Urban Masses,Householder Age: 55+ ,1130245
Diverse Workers,Householder Age: 55+ ,4352261
Modest Families,Householder Age: 55+ ,425518
Well-heeled Affluents,Householder Age: 55-64 ,1548407
Prosperous Acheivers,Householder Age: 55-64 ,1316245
Young Affluent Mobiles,Householder Age: 55-64 ,334906
Upscale Matures,Householder Age: 55-64 ,290285
Elite Households,Householder Age: 55-64 ,425364
Young Upscale Families,Householder Age: 55-64 ,1469162
Elder Midscale Class,Householder Age: 55-64 ,880813
Comfortable Retirees,Householder Age: 55-64 ,0
Mass Markets,Householder Age: 55-64 ,1639920
Young Urban Masses,Householder Age: 55-64 ,1004907
Diverse Workers,Householder Age: 55-64 ,2784863
Modest Families,Householder Age: 55-64 ,281611
Well-heeled Affluents,Householder Age: 65-74 ,0
Prosperous Acheivers,Householder Age: 65-74 ,897248
Young Affluent Mobiles,Householder Age: 65-74 ,236937
Upscale Matures,Householder Age: 65-74 ,1227443
Elite Households,Householder Age: 65-74 ,105466
Young Upscale Families,Householder Age: 65-74 ,602877
Elder Midscale Class,Householder Age: 65-74 ,2224236
Comfortable Retirees,Householder Age: 65-74 ,683504
Mass Markets,Householder Age: 65-74 ,228318
Young Urban Masses,Householder Age: 65-74 ,126579
Diverse Workers,Householder Age: 65-74 ,1567397
Modest Families,Householder Age: 65-74 ,142667
Well-heeled Affluents,Householder Age: 75+ ,0
Prosperous Acheivers,Householder Age: 75+ ,774954
Young Affluent Mobiles,Householder Age: 75+ ,0
Upscale Matures,Householder Age: 75+ ,1358662
Elite Households,Householder Age: 75+ ,0
Young Upscale Families,Householder Age: 75+ ,0
Elder Midscale Class,Householder Age: 75+ ,1819085
Comfortable Retirees,Householder Age: 75+ ,2676677
Mass Markets,Householder Age: 75+ ,0
Young Urban Masses,Householder Age: 75+ ,0
Diverse Workers,Householder Age: 75+ ,0
Modest Families,Householder Age: 75+ ,0
Well-heeled Affluents,Householder Marital Status: Married ,2140228
Prosperous Acheivers,Householder Marital Status: Married ,2654759
Young Affluent Mobiles,Householder Marital Status: Married ,2630641
Upscale Matures,Householder Marital Status: Married ,1798103
Elite Households,Householder Marital Status: Married ,3071725
Young Upscale Families,Householder Marital Status: Married ,4670523
Elder Midscale Class,Householder Marital Status: Married ,2290170
Comfortable Retirees,Householder Marital Status: Married ,815051
Mass Markets,Householder Marital Status: Married ,4739557
Young Urban Masses,Householder Marital Status: Married ,2158991
Diverse Workers,Householder Marital Status: Married ,2542590
Modest Families,Householder Marital Status: Married ,590549
Well-heeled Affluents,Householder Marital Status: Other ,281645
Prosperous Acheivers,Householder Marital Status: Other ,702037
Young Affluent Mobiles,Householder Marital Status: Other ,750600
Upscale Matures,Householder Marital Status: Other ,986463
Elite Households,Householder Marital Status: Other ,354810
Young Upscale Families,Householder Marital Status: Other ,1049602
Elder Midscale Class,Householder Marital Status: Other ,2359812
Comfortable Retirees,Householder Marital Status: Other ,2371499
Mass Markets,Householder Marital Status: Other ,2176352
Young Urban Masses,Householder Marital Status: Other ,1647748
Diverse Workers,Householder Marital Status: Other ,4038185
Modest Families,Householder Marital Status: Other ,1047083
Well-heeled Affluents,Householder Marital Status: Single ,147643
Prosperous Acheivers,Householder Marital Status: Single ,194767
Young Affluent Mobiles,Householder Marital Status: Single ,2025108
Upscale Matures,Householder Marital Status: Single ,91824
Elite Households,Householder Marital Status: Single ,224595
Young Upscale Families,Householder Marital Status: Single ,547085
Elder Midscale Class,Householder Marital Status: Single ,343669
Comfortable Retirees,Householder Marital Status: Single ,172391
Mass Markets,Householder Marital Status: Single ,1641442
Young Urban Masses,Householder Marital Status: Single ,2598457
Diverse Workers,Householder Marital Status: Single ,2546331
Modest Families,Householder Marital Status: Single ,2143825
Well-heeled Affluents,I am Among First of my Friends to try new Technology Products- Agree ,343055
Prosperous Acheivers,I am Among First of my Friends to try new Technology Products- Agree ,411378
Young Affluent Mobiles,I am Among First of my Friends to try new Technology Products- Agree ,888932
Upscale Matures,I am Among First of my Friends to try new Technology Products- Agree ,285041
Elite Households,I am Among First of my Friends to try new Technology Products- Agree ,551943
Young Upscale Families,I am Among First of my Friends to try new Technology Products- Agree ,848484
Elder Midscale Class,I am Among First of my Friends to try new Technology Products- Agree ,403429
Comfortable Retirees,I am Among First of my Friends to try new Technology Products- Agree ,287818
Mass Markets,I am Among First of my Friends to try new Technology Products- Agree ,1296515
Young Urban Masses,I am Among First of my Friends to try new Technology Products- Agree ,1025455
Diverse Workers,I am Among First of my Friends to try new Technology Products- Agree ,1201534
Modest Families,I am Among First of my Friends to try new Technology Products- Agree ,610257
Well-heeled Affluents,I am Willing to Pay More for Top Quality Electronics- Agree ,756944
Prosperous Acheivers,I am Willing to Pay More for Top Quality Electronics- Agree ,953399
Young Affluent Mobiles,I am Willing to Pay More for Top Quality Electronics- Agree ,1685141
Upscale Matures,I am Willing to Pay More for Top Quality Electronics- Agree ,647027
Elite Households,I am Willing to Pay More for Top Quality Electronics- Agree ,1153657
Young Upscale Families,I am Willing to Pay More for Top Quality Electronics- Agree ,1768303
Elder Midscale Class,I am Willing to Pay More for Top Quality Electronics- Agree ,1001329
Comfortable Retirees,I am Willing to Pay More for Top Quality Electronics- Agree ,537362
Mass Markets,I am Willing to Pay More for Top Quality Electronics- Agree ,2239097
Young Urban Masses,I am Willing to Pay More for Top Quality Electronics- Agree ,1705368
Diverse Workers,I am Willing to Pay More for Top Quality Electronics- Agree ,1920240
Modest Families,I am Willing to Pay More for Top Quality Electronics- Agree ,867047
Well-heeled Affluents,Internet Ads Appear at Inconvenient Moments- Agree ,656432
Prosperous Acheivers,Internet Ads Appear at Inconvenient Moments- Agree ,916526
Young Affluent Mobiles,Internet Ads Appear at Inconvenient Moments- Agree ,1334058
Upscale Matures,Internet Ads Appear at Inconvenient Moments- Agree ,624693
Elite Households,Internet Ads Appear at Inconvenient Moments- Agree ,958872
Young Upscale Families,Internet Ads Appear at Inconvenient Moments- Agree ,1576286
Elder Midscale Class,Internet Ads Appear at Inconvenient Moments- Agree ,1103500
Comfortable Retirees,Internet Ads Appear at Inconvenient Moments- Agree ,587661
Mass Markets,Internet Ads Appear at Inconvenient Moments- Agree ,2006808
Young Urban Masses,Internet Ads Appear at Inconvenient Moments- Agree ,1470957
Diverse Workers,Internet Ads Appear at Inconvenient Moments- Agree ,1901249
Modest Families,Internet Ads Appear at Inconvenient Moments- Agree ,828290
Well-heeled Affluents,Internet Ads Are Alike- Agree ,448469
Prosperous Acheivers,Internet Ads Are Alike- Agree ,595917
Young Affluent Mobiles,Internet Ads Are Alike- Agree ,1038380
Upscale Matures,Internet Ads Are Alike- Agree ,404636
Elite Households,Internet Ads Are Alike- Agree ,646091
Young Upscale Families,Internet Ads Are Alike- Agree ,1079763
Elder Midscale Class,Internet Ads Are Alike- Agree ,741541
Comfortable Retirees,Internet Ads Are Alike- Agree ,432160
Mass Markets,Internet Ads Are Alike- Agree ,1503572
Young Urban Masses,Internet Ads Are Alike- Agree ,1163706
Diverse Workers,Internet Ads Are Alike- Agree ,1434596
Modest Families,Internet Ads Are Alike- Agree ,658850
Well-heeled Affluents,Internet Ads Are Amusing- Agree ,224002
Prosperous Acheivers,Internet Ads Are Amusing- Agree ,305232
Young Affluent Mobiles,Internet Ads Are Amusing- Agree ,583325
Upscale Matures,Internet Ads Are Amusing- Agree ,227030
Elite Households,Internet Ads Are Amusing- Agree ,378182
Young Upscale Families,Internet Ads Are Amusing- Agree ,666236
Elder Midscale Class,Internet Ads Are Amusing- Agree ,471230
Comfortable Retirees,Internet Ads Are Amusing- Agree ,341823
Mass Markets,Internet Ads Are Amusing- Agree ,1048050
Young Urban Masses,Internet Ads Are Amusing- Agree ,822730
Diverse Workers,Internet Ads Are Amusing- Agree ,1225589
Modest Families,Internet Ads Are Amusing- Agree ,572951
Well-heeled Affluents,Internet Ads Are Repeated too Often- Agree ,636023
Prosperous Acheivers,Internet Ads Are Repeated too Often- Agree ,920819
Young Affluent Mobiles,Internet Ads Are Repeated too Often- Agree ,1395966
Upscale Matures,Internet Ads Are Repeated too Often- Agree ,671159
Elite Households,Internet Ads Are Repeated too Often- Agree ,964219
Young Upscale Families,Internet Ads Are Repeated too Often- Agree ,1570415
Elder Midscale Class,Internet Ads Are Repeated too Often- Agree ,1175726
Comfortable Retirees,Internet Ads Are Repeated too Often- Agree ,635261
Mass Markets,Internet Ads Are Repeated too Often- Agree ,2078224
Young Urban Masses,Internet Ads Are Repeated too Often- Agree ,1539108
Diverse Workers,Internet Ads Are Repeated too Often- Agree ,1980000
Modest Families,Internet Ads Are Repeated too Often- Agree ,839537
Well-heeled Affluents,Internet Ads Give Good Info on New Products/Services- Agree ,431247
Prosperous Acheivers,Internet Ads Give Good Info on New Products/Services- Agree ,588257
Young Affluent Mobiles,Internet Ads Give Good Info on New Products/Services- Agree ,1018314
Upscale Matures,Internet Ads Give Good Info on New Products/Services- Agree ,399746
Elite Households,Internet Ads Give Good Info on New Products/Services- Agree ,701386
Young Upscale Families,Internet Ads Give Good Info on New Products/Services- Agree ,1163802
Elder Midscale Class,Internet Ads Give Good Info on New Products/Services- Agree ,749986
Comfortable Retirees,Internet Ads Give Good Info on New Products/Services- Agree ,480045
Mass Markets,Internet Ads Give Good Info on New Products/Services- Agree ,1669873
Young Urban Masses,Internet Ads Give Good Info on New Products/Services- Agree ,1237910
Diverse Workers,Internet Ads Give Good Info on New Products/Services- Agree ,1681108
Modest Families,Internet Ads Give Good Info on New Products/Services- Agree ,747982
Well-heeled Affluents,Internet Ads Give Good Information on Consumer Product Use- Agree ,350995
Prosperous Acheivers,Internet Ads Give Good Information on Consumer Product Use- Agree ,489676
Young Affluent Mobiles,Internet Ads Give Good Information on Consumer Product Use- Agree ,845789
Upscale Matures,Internet Ads Give Good Information on Consumer Product Use- Agree ,332742
Elite Households,Internet Ads Give Good Information on Consumer Product Use- Agree ,578786
Young Upscale Families,Internet Ads Give Good Information on Consumer Product Use- Agree ,1006660
Elder Midscale Class,Internet Ads Give Good Information on Consumer Product Use- Agree ,619055
Comfortable Retirees,Internet Ads Give Good Information on Consumer Product Use- Agree ,421430
Mass Markets,Internet Ads Give Good Information on Consumer Product Use- Agree ,1484706
Young Urban Masses,Internet Ads Give Good Information on Consumer Product Use- Agree ,1137189
Diverse Workers,Internet Ads Give Good Information on Consumer Product Use- Agree ,1537247
Modest Families,Internet Ads Give Good Information on Consumer Product Use- Agree ,687130
Well-heeled Affluents,Internet Ads Give Useful Info on Bargains- Agree ,418839
Prosperous Acheivers,Internet Ads Give Useful Info on Bargains- Agree ,546165
Young Affluent Mobiles,Internet Ads Give Useful Info on Bargains- Agree ,988466
Upscale Matures,Internet Ads Give Useful Info on Bargains- Agree ,372541
Elite Households,Internet Ads Give Useful Info on Bargains- Agree ,690469
Young Upscale Families,Internet Ads Give Useful Info on Bargains- Agree ,1147037
Elder Midscale Class,Internet Ads Give Useful Info on Bargains- Agree ,694781
Comfortable Retirees,Internet Ads Give Useful Info on Bargains- Agree ,463185
Mass Markets,Internet Ads Give Useful Info on Bargains- Agree ,1638231
Young Urban Masses,Internet Ads Give Useful Info on Bargains- Agree ,1232692
Diverse Workers,Internet Ads Give Useful Info on Bargains- Agree ,1676453
Modest Families,Internet Ads Give Useful Info on Bargains- Agree ,733326
Well-heeled Affluents,Internet Ads Have No Credibility- Agree ,430162
Prosperous Acheivers,Internet Ads Have No Credibility- Agree ,637964
Young Affluent Mobiles,Internet Ads Have No Credibility- Agree ,953893
Upscale Matures,Internet Ads Have No Credibility- Agree ,437787
Elite Households,Internet Ads Have No Credibility- Agree ,624803
Young Upscale Families,Internet Ads Have No Credibility- Agree ,1050098
Elder Midscale Class,Internet Ads Have No Credibility- Agree ,833103
Comfortable Retirees,Internet Ads Have No Credibility- Agree ,431641
Mass Markets,Internet Ads Have No Credibility- Agree ,1449710
Young Urban Masses,Internet Ads Have No Credibility- Agree ,1104110
Diverse Workers,Internet Ads Have No Credibility- Agree ,1456750
Modest Families,Internet Ads Have No Credibility- Agree ,601717
