Location,Location2,Location3,State,County,Land Area,WaterArea,Latitude,Longitude,Population Growth Rate,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,Number of Burgalaries reported,MedianAge,Crime Rate,Homicide Reported,CBSA_Type,FinanceNumber,Property Crime Rate,Housing Construction,HouseholdsPerZipCode,AverageHouseValue,Elevation
Illinois|Mascoutah ,Mascoutah ,Mascoutah ,IL,Saint Clair,36.744,0.45,38.45486,-89.77519,0.24%,4284,256,122,89,19,43,40,2277,2323,1,37.2,43,,Metro,164914,20,0.05%,1738,156400,529
Illinois|Matteson ,Matteson ,Matteson ,IL,Cook,5.781,0.026,41.499419,-87.744087,2.05%,2545,7851,470,132,14,84,210,4858,5715,9,39.5,960,,Metro,164944,452,3.10%,3887,187200,596
Illinois|Mattoon ,Mattoon ,Mattoon ,IL,Coles,62.333,0.18,39.476314,-88.359457,-0.14%,10813,333,188,85,6,80,66,5392,5813,27,39.7,377,,Micro,164950,154.5,-2.11%,4860,87500,686
Illinois|Maywood ,Maywood ,Maywood ,IL,Cook,1.4985,0,41.881479,-87.843899,0.03%,1669,9117,2500,76,4,102,1328,5723,6331,54,33.4,893,3.5,Metro,164968,340,-2.19%,3707,174000,596
Illinois|Mchenry ,Mchenry ,Mchenry ,IL,Mchenry,29.982,1.232,42.356362,-88.27226,0.01%,14578,166,1896,274,16,116,901,7749,8061,6,37.9,356,,Metro,164680,166,-0.71%,5910,215400,942
Illinois|Melrose Park ,Melrose Park ,Melrose Park ,IL,Cook,4.5935,0,41.904093,-87.86386,0.63%,7578,828,8836,262,11,107,4344,6372,6344,8,30.9,413,,Metro,165010,193,1.28%,3984,244100,596
Illinois|Mendota ,Mendota ,Mendota ,IL,La Salle,52.509,0.071,41.55605,-89.073831,-1.69%,4189,50,1000,38,2,29,383,2227,2381,3,40,121,,Micro,165034,55.5,-3.62%,1766,127200,509
Illinois|Metropolis ,Metropolis ,Metropolis ,IL,Massac,58.157,0.978,37.235706,-88.715482,-0.97%,5394,408,113,31,2,59,46,2749,3053,13,42.6,310,,Micro,165076,135,-0.97%,2422,83900,339
Illinois|Midlothian ,Midlothian ,Midlothian ,IL,Cook,3.458,0.0315,41.636087,-87.737374,-0.16%,10686,1296,1984,230,10,92,1049,6343,6686,3,39,346,,Metro,165100,158.5,2.14%,5133,177600,596
Illinois|Milan ,Milan ,Milan ,IL,Rock Island,35.884,1.688,41.399046,-90.596641,0.87%,5036,222,185,31,6,50,46,2591,2684,5,44.2,149,,Metro,165106,70,2.15%,2296,116400,563
Illinois|Milledgeville ,Milledgeville ,Milledgeville ,IL,Carroll,26.918,0,41.991701,-89.754466,1.08%,781,4,11,4,0,6,3,397,390,0,42.5,9,,,165130,4,3.09%,334,96400,822
Illinois|Minooka ,Minooka ,Minooka ,IL,Grundy,34.069,0.1665,41.482964,-88.300978,-0.96%,6301,235,797,120,4,35,318,3402,3453,4,32.7,125,,Metro,165190,59,-1.30%,2259,220100,522
Illinois|Mokena ,Mokena ,Mokena ,IL,Will,9.0765,0.007,41.53279,-87.889373,1.26%,11694,178,603,268,7,61,157,6069,6143,3,39.4,210,,Metro,165220,101,1.43%,4124,306500,536
Illinois|Moline ,Moline ,Moline ,IL,Rock Island,9.48,0.712,41.483067,-90.484822,-0.40%,19343,1430,3435,617,20,286,1605,10933,11617,65,39.5,1603,,Metro,165226,723.5,0.15%,9640,112400,563
Illinois|Monmouth ,Monmouth ,Monmouth ,IL,Warren,78.217,0.098,40.910976,-90.652246,-0.91%,5222,203,708,44,7,43,423,2823,2999,13,36,229,,,165250,98.5,1.18%,2194,83600,771
Illinois|Montgomery ,Montgomery ,Montgomery ,IL,Kendall,5.045,0.0515,41.717114,-88.357412,2.68%,10763,1104,3361,425,14,121,1316,6541,6769,6,32.1,281,0.5,Metro,165262,127,0.69%,4421,190100,584
Illinois|Morris ,Morris ,Morris ,IL,Grundy,78.6735,4.413,41.36735,-88.424746,-0.87%,9686,122,835,84,5,51,348,5023,5144,8,39.9,345,,Metro,165292,162,0.01%,3997,210400,522
Illinois|Morrison ,Morrison ,Morrison ,IL,Whiteside,75.8445,0.1125,41.82997,-89.968059,-3.34%,3585,32,89,13,3,23,34,1813,1840,2,44.3,45,,Micro,165298,19.5,-1.87%,1475,111500,670
Illinois|Morton ,Morton ,Morton ,IL,Tazewell,20.4495,0.0275,40.607227,-89.424421,-0.18%,8622,89,142,138,5,36,58,4276,4585,4,41.7,172,,Metro,165310,82.5,-3.09%,3592,172800,533
Illinois|Morton Grove ,Morton Grove ,Morton Grove ,IL,Cook,2.5125,0,42.038694,-87.793083,0.28%,7931,193,752,3465,17,53,295,5554,6077,9,45.8,328,0.5,Metro,165316,151.5,0.27%,4313,347800,596
Illinois|Mount Carmel ,Mount Carmel ,Mount Carmel ,IL,Wabash,74.779,1.748,38.411082,-87.861182,-1.35%,4974,58,73,43,6,32,36,2474,2618,10,42.4,173,,,165346,76.5,-0.07%,2162,78500,390
Illinois|Mount Carroll ,Mount Carroll ,Mount Carroll ,IL,Carroll,55.1985,0.007,42.116581,-89.978664,-5.97%,1408,11,29,11,1,6,3,702,725,0,48,18,,,165352,9,-2.32%,608,114500,822
Illinois|Mount Olive ,Mount Olive ,Mount Olive ,IL,Macoupin,15.9085,0.1375,39.087231,-89.750605,-2.44%,1641,8,14,2,1,11,2,811,846,1,43,6,,Metro,165376,2,-2.54%,696,78000,627
Illinois|Mount Prospect ,Mount Prospect ,Mount Prospect ,IL,Cook,5.3765,0,42.062685,-87.925548,0.01%,21707,769,4272,3493,33,183,2014,13627,13983,10,39.5,606,,Metro,165382,291,0.26%,10459,326300,596
Illinois|Mount Pulaski ,Mount Pulaski ,Mount Pulaski ,IL,Logan,44.376,0.0125,39.981236,-89.283878,-1.59%,1112,3,11,7,1,5,8,539,590,0,44.3,9,,Micro,165388,4.5,-0.13%,471,108700,590
Illinois|Mount Vernon ,Mount Vernon ,Mount Vernon ,IL,Jefferson,72.579,0.321,38.319573,-88.904538,-0.24%,10648,1329,232,134,13,89,92,5793,6262,76,41.1,1140,,Micro,165400,474,-0.04%,5159,90000,472
Illinois|Moweaqua ,Moweaqua ,Moweaqua ,IL,Christian,44.34,0.01,39.610418,-88.974237,0.83%,1420,8,13,3,1,12,5,696,739,1,42.3,5,,Micro,165412,1.5,1.87%,575,101800,634
Illinois|Mundelein ,Mundelein ,Mundelein ,IL,Lake,11.7805,0.6615,42.262812,-88.047407,1.23%,14119,368,5371,1646,22,196,2734,9451,9144,6,35.9,274,0.5,Metro,165448,128,2.62%,6274,261500,587
Illinois|Naperville ,Naperville ,Naperville ,IL,Dupage,28.4495,0.4785,41.768946,-88.135081,0.22%,17933,876,1074,2603,23,94,384,10478,10977,42,39.2,1747,0.5,Metro,165484,817,0.48%,7711,403700,746
Illinois|New Athens ,New Athens ,New Athens ,IL,Saint Clair,32.7425,2.033,38.302002,-89.925965,-6.34%,1648,8,24,4,2,15,9,812,858,0,41.2,22,,Metro,165550,11,1.30%,662,111200,529
Illinois|New Berlin ,New Berlin ,New Berlin ,IL,Sangamon,42.092,0.0005,39.744721,-89.866206,-5.69%,1477,13,18,15,1,6,4,751,748,0,40.8,1,,Metro,165568,0,-3.31%,592,142500,612
Illinois|New Lenox ,New Lenox ,New Lenox ,IL,Will,12.758,0.037,41.507824,-87.96519,0.31%,16609,149,922,181,6,86,206,8465,8567,8,37.6,329,0.5,Metro,165610,152.5,-0.76%,5614,288100,536
Illinois|Newton ,Newton ,Newton ,IL,Jasper,102,1.7095,38.967312,-88.199905,7.09%,2898,11,26,10,2,10,7,1416,1502,2,42.5,58,,,165652,27,3.56%,1197,82700,535
Illinois|Niles ,Niles ,Niles ,IL,Cook,3.182,0,42.029554,-87.811172,-0.05%,11632,252,1300,2713,15,52,628,7071,7895,7,48.2,727,,Metro,161542,350,0.48%,5977,312600,596
Illinois|Nokomis ,Nokomis ,Nokomis ,IL,Montgomery,55.288,0.01,39.294016,-89.306736,-5.96%,1713,9,19,4,0,8,10,861,869,3,42.3,41,,,165688,17,-6.63%,715,71300,583
Illinois|Normal ,Normal ,Normal ,IL,Mclean,21.284,0.031,40.535104,-88.934452,0.88%,23067,2464,1069,1025,26,138,379,12463,13977,31,23.6,1160,,Metro,165700,529,3.58%,9075,158300,829
Illinois|North Aurora ,North Aurora ,North Aurora ,IL,Kane,4.713,0.1175,41.805177,-88.35085,2.14%,7184,509,1269,515,7,60,534,4159,4391,4,36.6,244,,Metro,165724,110.5,-1.73%,2990,264500,720
Illinois|Northbrook ,Northbrook ,Northbrook ,IL,Cook,9.2655,0.0595,42.119974,-87.840922,0.35%,16959,226,611,2842,16,34,174,9553,10415,1,48,363,,Metro,165730,178,0.47%,7774,523200,596
Illinois|Oak Brook ,Oak Brook ,Oak Brook ,IL,Dupage,4.461,0.1695,41.836421,-87.952011,1.08%,3763,113,215,1104,5,12,50,2270,2675,2,57,427,,Metro,163654,210.5,1.04%,2155,705600,746
Illinois|Oak Forest ,Oak Forest ,Oak Forest ,IL,Cook,4.652,0.0315,41.605369,-87.754508,0.44%,11942,721,1879,640,15,87,924,6901,7084,9,37.7,362,,Metro,165760,168,6.97%,5102,219800,596
Illinois|Oak Lawn ,Oak Lawn ,Oak Lawn ,IL,Cook,4.2285,0,41.708906,-87.75952,0.27%,24690,1582,4069,816,28,154,1704,13537,14891,21,41.2,1101,1.5,Metro,165778,505.5,-0.82%,11214,225800,596
Illinois|Oak Park ,Oak Park ,Oak Park ,IL,Cook,2.3505,0,41.888644,-87.798224,0.14%,812,303,93,151,2,10,33,567,703,11,38.7,1667,,Metro,165790,782,-0.56%,753,192400,596
Illinois|Oakwood ,Oakwood ,Oakwood ,IL,Vermilion,14.3945,0.3,40.133981,-87.76146,-2.22%,1542,15,26,6,3,7,8,766,797,2,42.5,24,,Metro,165796,10.5,-0.20%,642,102700,597
Illinois|Oblong ,Oblong ,Oblong ,IL,Crawford,61.143,0.0085,39.013,-87.907195,3.39%,1562,13,16,9,0,8,7,768,820,3,43,32,,,165802,13.5,6.58%,627,69100,546
Illinois|Okawville ,Okawville ,Okawville ,IL,Washington,28.99,0.0815,38.431929,-89.506264,8.60%,1029,4,15,1,1,6,1,516,523,3,41,20,,,165856,6.5,0.77%,431,119000,503
Illinois|Olney ,Olney ,Olney ,IL,Richland,76.1055,0.886,38.705768,-88.090602,-0.40%,5981,57,82,69,5,26,38,2952,3157,13,42.3,313,,,165886,139.5,0.71%,2564,78200,481
Illinois|Olympia Fields ,Olympia Fields ,Olympia Fields ,IL,Cook,1.39,0.002,41.517042,-87.689034,3.63%,624,1735,64,65,0,12,36,1127,1291,1,49.9,126,,Metro,165892,59.5,-0.77%,930,274900,596
Illinois|Oregon ,Oregon ,Oregon ,IL,Ogle,52.416,0.9615,42.001454,-89.359235,-2.21%,3409,33,120,26,1,18,49,1741,1764,5,46.6,81,,Micro,165964,35,-5.14%,1491,159300,699
Illinois|Orion ,Orion ,Orion ,IL,Henry,23.3295,0,41.356247,-90.411055,-0.66%,1639,6,38,10,0,11,9,820,838,0,40.5,7,,Metro,165976,3.5,3.20%,646,143300,814
Illinois|Orland Park ,Orland Park ,Orland Park ,IL,Cook,15.1185,0.3895,41.616364,-87.836574,1.08%,17818,329,1410,964,15,71,458,9251,10111,8,45.2,1315,0.5,Metro,165982,646.5,0.96%,7557,287300,596
Illinois|Oswego ,Oswego ,Oswego ,IL,Kendall,21.332,0.208,41.664269,-88.334318,2.24%,15891,1008,2255,720,10,101,774,8925,9154,6,34.6,524,,Metro,166000,249,1.51%,6014,260500,584
Illinois|Ottawa ,Ottawa ,Ottawa ,IL,La Salle,76.849,2.6595,41.366594,-88.859149,-0.16%,11574,266,806,132,8,93,226,5970,6154,6,41.7,502,,Micro,166006,243.5,-0.02%,4990,138500,509
Illinois|Palatine ,Palatine ,Palatine ,IL,Cook,10.431,0.0935,42.1106,-88.0342,-0.28%,0,0,0,0,0,0,0,0,0,11,0,659,1.5,Metro,166024,311.5,1.09%,0,0,596
Illinois|Palestine ,Palestine ,Palestine ,IL,Crawford,31.175,0.497,39.000136,-87.598465,-10.35%,1064,6,10,8,0,8,6,536,542,4,42.7,31,,,166030,11,-5.25%,463,54400,546
Illinois|Palos Heights ,Palos Heights ,Palos Heights ,IL,Cook,2.689,0.0625,41.655896,-87.789002,0.09%,7005,126,287,177,5,16,88,3392,3944,3,50.8,152,,Metro,166054,73,-1.52%,2799,299700,596
Illinois|Palos Hills ,Palos Hills ,Palos Hills ,IL,Cook,2.374,0.0015,41.699451,-87.826942,0.21%,7830,506,647,291,6,33,221,4127,4621,10,42.7,133,,Metro,168634,52.5,-3.14%,3623,223200,596
Illinois|Palos Park ,Palos Park ,Palos Park ,IL,Cook,3.874,0.1875,41.66944,-87.861791,-2.43%,4586,40,206,155,4,11,62,2249,2562,1,51.7,31,,Metro,166060,15,-3.11%,1912,406300,596
Illinois|Pana ,Pana ,Pana ,IL,Christian,62.3075,0.2515,39.392872,-89.151803,-1.81%,3770,13,33,26,0,10,13,1851,1953,5,43.3,121,,Micro,166066,55.5,0.76%,1623,75900,634
Illinois|Paris ,Paris ,Paris ,IL,Edgar,132.4935,0.2745,39.60559,-87.706418,-1.64%,6384,39,72,19,1,31,30,3110,3344,15,42.9,222,,,166090,94.5,-0.80%,2727,73900,726
Illinois|Park Forest ,Park Forest ,Park Forest ,IL,Cook,3.2045,0.013,41.463245,-87.705704,0.20%,4034,6887,699,127,15,124,313,4964,6094,17,37.5,453,,Metro,166099,191.5,2.13%,4403,106300,596
Illinois|Park Ridge ,Park Ridge ,Park Ridge ,IL,Cook,3.547,0.015,42.015791,-87.842834,0.21%,17737,122,888,844,9,50,233,8968,9770,4,44.8,463,,Metro,166102,225.5,1.58%,7057,445600,596
Illinois|Patoka ,Patoka ,Patoka ,IL,Marion,33.879,2.4405,38.747093,-89.057763,5.60%,579,1,6,2,1,6,1,291,293,0,43.3,3,,Micro,166114,1.5,1.01%,234,55800,544
Illinois|Pawnee ,Pawnee ,Pawnee ,IL,Sangamon,46.183,1.6125,39.58644,-89.534908,-1.91%,1782,20,21,6,1,31,2,889,906,1,38.1,13,,Metro,166126,5.5,-6.11%,704,109000,612
Illinois|Paxton ,Paxton ,Paxton ,IL,Ford,49.8915,0.085,40.428622,-88.121755,-2.91%,2752,25,67,13,3,16,35,1355,1453,6,41.7,68,,Metro,166138,27.5,2.10%,1100,95700,790
Illinois|Pekin ,Pekin ,Pekin ,IL,Tazewell,34.9655,0.2265,40.547918,-89.61406,-0.19%,21156,475,468,185,23,184,177,10812,11093,26,39.4,801,,Metro,166168,361.5,-0.86%,8788,101500,533
Illinois|Peoria ,Peoria ,Peoria ,IL,Peoria,51.4195,0.682,40.6937,-89.5887,-0.20%,0,0,0,0,0,0,0,0,0,227,0,5617,3.5,Metro,166180,2429,-0.07%,0,0,468
Illinois|Peoria Heights ,Peoria Heights ,Peoria Heights ,IL,Peoria,1.267,0.0645,40.744422,-89.570884,-0.58%,2795,237,90,43,5,33,39,1484,1575,8,37.9,179,,Metro,166180,78,-4.92%,1417,79100,468
Illinois|Peotone ,Peotone ,Peotone ,IL,Will,36.132,0.034,41.331308,-87.813792,-0.36%,2966,35,175,20,0,15,58,1538,1521,1,40,34,,Metro,166186,15,-6.62%,1130,231800,536
Illinois|Peru ,Peru ,Peru ,IL,La Salle,21.175,0.1735,41.338082,-89.144038,-0.71%,5175,72,326,111,2,32,125,2605,2831,2,44.6,216,,Micro,166210,105,0.43%,2356,122300,509
Illinois|Pierron ,Pierron ,Pierron ,IL,Bond,0.672,0,38.779754,-89.596848,22.09%,212,0,5,1,1,2,1,109,104,0,34.6,0,,Metro,166246,0,33.01%,84,47800,635
Illinois|Pinckneyville ,Pinckneyville ,Pinckneyville ,IL,Perry,69.7915,0.7035,38.083018,-89.39959,-1.09%,3286,736,219,27,3,21,171,2662,1544,2,37.8,18,,,166258,7.5,0.29%,1286,81100,439
Illinois|Plainfield ,Plainfield ,Plainfield ,IL,Will,28.4435,0.9525,41.6161,-88.219788,1.75%,10885,918,1853,713,18,76,664,6262,6718,8,37.1,353,,Metro,166294,161,0.59%,4632,230000,536
Illinois|Plano ,Plano ,Plano ,IL,Kendall,18.925,0.168,41.663977,-88.525039,0.76%,5182,477,1789,125,7,51,826,3219,3251,1,31,115,,Metro,166312,56.5,-0.82%,2156,186300,584
Illinois|Pleasant Plains ,Pleasant Plains ,Pleasant Plains ,IL,Sangamon,45.995,0.0255,39.83784,-89.868494,-5.32%,1261,12,10,9,1,7,6,646,636,0,43.6,1,,Metro,166336,0.5,-3.93%,498,150200,612
Illinois|Polo ,Polo ,Polo ,IL,Ogle,52.8165,0,41.989591,-89.578114,-3.85%,1911,18,41,12,0,9,9,931,1004,1,43.3,34,,Micro,166354,14.5,-0.91%,791,99100,699
Illinois|Pontiac ,Pontiac ,Pontiac ,IL,Livingston,81.5935,0.2565,40.873272,-88.634066,-0.46%,6447,665,393,51,4,46,148,3945,3286,17,39.8,371,,Micro,166366,163.5,-0.85%,2657,103600,656
Illinois|Posen ,Posen ,Posen ,IL,Cook,0.4745,0,41.628128,-87.686557,-1.16%,1784,546,1570,22,5,40,686,1500,1466,4,30.8,148,0.5,Metro,166390,68.5,12.36%,875,156100,596
Illinois|Potomac ,Potomac ,Potomac ,IL,Vermilion,38.522,0.01,40.299689,-87.83248,-3.94%,683,9,7,2,0,2,6,346,350,0,40,6,,Metro,166402,3,1.79%,272,90400,597
Illinois|Princeton ,Princeton ,Princeton ,IL,Bureau,88.839,0.414,41.353779,-89.423158,-0.62%,5441,55,226,74,6,36,91,2697,2944,4,45.3,134,,Micro,166444,60,0.32%,2422,126000,700
Illinois|Prospect Heights ,Prospect Heights ,Prospect Heights ,IL,Cook,1.801,0.0145,42.106044,-87.922836,0.58%,6138,148,2420,666,6,82,1135,3992,4009,9,37.3,178,,Metro,166462,78.5,-0.59%,3015,281900,596
Illinois|Quincy ,Quincy ,Quincy ,IL,Adams,74.817,4.323,39.929212,-91.392828,0.23%,15616,1292,241,170,13,113,104,8120,8760,76,38.4,1553,1,Micro,166486,681.5,0.38%,7097,85100,488
Illinois|Raleigh ,Raleigh ,Raleigh ,IL,Saline,9.854,0.0475,37.85556,-88.54381,6.33%,348,0,2,1,0,2,1,172,178,0,40.6,3,,,166504,1.5,17.92%,139,79400,403
Illinois|Rankin ,Rankin ,Rankin ,IL,Vermilion,41.542,0.0155,40.429033,-87.882078,1.42%,510,10,29,3,1,1,19,276,257,0,38.3,0,,Metro,166522,0,-5.29%,203,88300,597
Illinois|Rantoul ,Rantoul ,Rantoul ,IL,Champaign,40.125,0.0555,40.312048,-88.155743,0.46%,5057,1702,684,166,18,87,331,3374,3651,52,33.3,426,1,Metro,166534,148.5,-0.43%,2807,86900,725
Illinois|Raymond ,Raymond ,Raymond ,IL,Montgomery,31.7935,0.0455,39.304893,-89.603788,-5.76%,750,6,4,2,0,3,1,372,383,,42.9,1,,,166564,0,-5.16%,312,89200,583
Illinois|Red Bud ,Red Bud ,Red Bud ,IL,Randolph,51.19,0.6475,38.20316,-90.008645,-2.56%,3311,13,33,22,3,14,9,1629,1716,3,41.7,33,,,166570,13.5,-3.62%,1347,153000,388
Illinois|Richmond ,Richmond ,Richmond ,IL,Mchenry,12.982,0.0795,42.454533,-88.308674,-0.17%,1727,19,107,24,1,15,40,892,907,2,41.6,20,,Metro,166618,8.5,-0.51%,764,234000,942
Illinois|Richton Park ,Richton Park ,Richton Park ,IL,Cook,2.3995,0.006,41.475719,-87.72628,0.84%,1030,5961,249,96,7,51,115,3195,3856,9,35.2,375,1,Metro,166624,163,1.22%,2576,175800,596
Illinois|Ridge Farm ,Ridge Farm ,Ridge Farm ,IL,Vermilion,20.667,0,39.90815,-87.612956,-13.23%,659,5,7,2,0,6,3,322,342,1,40.2,8,,Metro,166636,3.5,-21.87%,267,68800,597
Illinois|River Forest ,River Forest ,River Forest ,IL,Cook,1.2375,0.001,41.89396,-87.81977,0.18%,4839,416,335,304,5,30,118,2614,2973,5,41.3,262,,Metro,165790,121.5,1.05%,1981,602800,596
Illinois|River Grove ,River Grove ,River Grove ,IL,Cook,1.129,0,41.922992,-87.839881,0.04%,4567,97,957,139,7,49,368,2507,2617,3,38.2,127,,Metro,166690,59,0.03%,2071,223000,596
Illinois|Riverdale ,Riverdale ,Riverdale ,IL,Cook,3.506,0.2375,41.653651,-87.625238,0.59%,668,13117,453,42,9,70,239,6178,7795,25,30.1,571,2,Metro,161542,207.5,-0.36%,4819,118800,596
Illinois|Riverside ,Riverside ,Riverside ,IL,Cook,1.936,0.0095,41.836961,-87.828895,-0.07%,6944,301,1273,216,6,35,488,3774,4060,25,43,157,,Metro,166696,53,-2.18%,3162,321200,596
Illinois|Riverton ,Riverton ,Riverton ,IL,Sangamon,13.284,0.1505,39.856932,-89.513246,-0.28%,2618,28,35,16,2,16,8,1306,1352,9,38.3,55,,Metro,166702,17.5,-4.75%,1030,114700,612
Illinois|Robinson ,Robinson ,Robinson ,IL,Crawford,61.517,0.183,38.98083,-87.743523,0.34%,5172,471,144,52,7,25,74,3074,2660,10,40.9,170,,,166732,75.5,1.19%,2186,74700,546
Illinois|Rochester ,Rochester ,Rochester ,IL,Sangamon,28.7925,0.2415,39.7187,-89.506022,1.78%,2795,42,29,21,0,16,15,1409,1435,1,41.8,15,0.5,Metro,166750,6.5,1.08%,1060,161300,612
Illinois|Rock Falls ,Rock Falls ,Rock Falls ,IL,Whiteside,35.567,1.048,41.720626,-89.722404,-0.55%,6873,165,870,34,6,58,222,3526,3665,14,41.2,172,,Micro,166768,67,2.29%,2941,87500,670
Illinois|Rock Island ,Rock Island ,Rock Island ,IL,Rock Island,9.027,1,41.470144,-90.571246,-0.23%,14788,4046,1842,427,14,218,848,9382,10177,60,36.9,1032,0.5,Metro,166786,437.5,-0.75%,7983,97700,563
Illinois|Rockford ,Rockford ,Rockford ,IL,Winnebago,85.2995,1.1075,42.328316,-89.147526,-0.52%,5759,4484,1427,83,11,154,804,5176,5621,644,33.2,8248,8.5,Metro,166774,3200.5,-0.26%,3973,82300,730
Illinois|Rockton ,Rockton ,Rockton ,IL,Winnebago,26.2655,0.515,42.437728,-89.146582,-0.36%,5722,109,212,78,2,37,54,2854,3045,4,39.6,133,,Metro,166798,62,0.46%,2194,170900,730
Illinois|Rolling Meadows ,Rolling Meadows ,Rolling Meadows ,IL,Cook,2.585,0.0025,42.076153,-88.027941,0.40%,9163,331,3148,943,14,169,1131,5679,5680,4,37,262,,Metro,160282,123,0.12%,4217,256000,596
Illinois|Roscoe ,Roscoe ,Roscoe ,IL,Winnebago,13.6705,0.2745,42.420756,-88.99051,-0.67%,9521,274,352,211,4,58,135,4982,5045,6,39.8,108,,Metro,166834,47.5,0.94%,3596,182200,730
Illinois|Roselle ,Roselle ,Roselle ,IL,Dupage,3.4755,0.071,41.975436,-88.098551,0.38%,10584,360,997,1184,18,75,305,5969,6300,3,39.5,254,,Metro,167065,123,1.02%,4632,282300,746
Illinois|Round Lake ,Round Lake ,Round Lake ,IL,Lake,10.251,0.471,42.342906,-88.112125,1.14%,21421,1633,11716,2209,58,480,5278,15095,14907,7,30.8,174,,Metro,166882,75.5,-0.70%,9054,180900,587
Illinois|Roxana ,Roxana ,Roxana ,IL,Madison,2.6415,0.083,38.8447,-90.062498,-3.97%,792,7,11,5,1,3,2,385,418,2,37.2,68,,Metro,168604,31,-0.65%,327,79300,433
Illinois|Sandwich ,Sandwich ,Sandwich ,IL,Dekalb,20.227,0.1895,41.63579,-88.640859,-1.05%,5809,50,561,42,4,37,272,3063,3047,9,39.9,99,,Metro,167020,38.5,-2.36%,2281,187600,850
Illinois|Savanna ,Savanna ,Savanna ,IL,Carroll,37.134,2.24,42.143723,-90.227178,1.16%,2128,55,125,13,2,18,39,1113,1103,0,45.1,62,,,167038,30.5,-2.07%,974,80700,822
Illinois|Schaumburg ,Schaumburg ,Schaumburg ,IL,Cook,10.4305,0.051,42.0334,-88.0833,0.08%,0,0,0,0,0,0,0,0,0,16,0,1943,,Metro,167065,935,-0.93%,0,0,596
Illinois|Schiller Park ,Schiller Park ,Schiller Park ,IL,Cook,1.3245,0,41.959018,-87.868658,0.49%,4844,129,1422,396,4,42,598,2996,2902,3,35.2,270,,Metro,162892,131,0.62%,2180,252900,596
Illinois|Seneca ,Seneca ,Seneca ,IL,La Salle,24.845,0.1995,41.340664,-88.6131,5.06%,1646,27,66,12,2,19,25,850,847,8,39,73,,Micro,167128,29,1.66%,627,182500,509
Illinois|Shannon ,Shannon ,Shannon ,IL,Carroll,28.7045,0,42.162406,-89.754166,3.93%,683,2,10,4,2,4,1,343,345,0,43.3,0,,,167164,0,2.66%,279,104200,822
Illinois|Shorewood ,Shorewood ,Shorewood ,IL,Will,7.806,0.0905,41.508966,-88.21599,-0.62%,7814,492,903,189,10,48,298,4257,4441,2,38.6,145,,Metro,163966,68,-1.03%,3074,246800,536
Illinois|Sidell ,Sidell ,Sidell ,IL,Vermilion,21.7425,0,39.924376,-87.83113,-12.33%,398,1,4,3,2,5,0,204,197,0,42.1,0,,Metro,167260,0,-9.27%,153,75700,597
Illinois|Silvis ,Silvis ,Silvis ,IL,Rock Island,1.6695,0,41.497463,-90.409302,1.53%,3458,263,611,59,8,38,230,1874,2031,10,40.9,272,,Metro,167278,125,2.99%,1714,114900,563
Illinois|Skokie ,Skokie ,Skokie ,IL,Cook,4.69,0,42.03821,-87.728065,1.01%,10462,1357,1447,4685,40,94,710,8011,8697,56,42.6,1523,1,Metro,167296,676.5,-2.18%,5700,348300,596
Illinois|Smithton ,Smithton ,Smithton ,IL,Saint Clair,8.1815,0.209,38.388428,-90.00493,-0.26%,2196,28,33,13,3,14,4,1091,1152,1,39.8,17,,Metro,167320,7.5,-0.80%,825,188700,529
Illinois|South Beloit ,South Beloit ,South Beloit ,IL,Winnebago,12.547,0.1705,42.476952,-89.008696,-1.12%,4799,234,434,103,10,44,247,2623,2677,2,36.8,159,,Metro,167344,75.5,-1.11%,2036,132100,730
Illinois|South Elgin ,South Elgin ,South Elgin ,IL,Kane,4.272,0.162,41.992656,-88.313949,0.34%,9509,474,1771,911,13,111,665,5607,5723,12,34.8,263,,Metro,167350,118.5,1.18%,3715,232100,720
Illinois|South Holland ,South Holland ,South Holland ,IL,Cook,4.2545,0.008,41.600208,-87.599437,0.27%,2432,8445,661,93,6,78,368,5229,5991,8,42.1,443,0.5,Metro,167356,190,1.53%,3730,177000,596
Illinois|South Roxana ,South Roxana ,South Roxana ,IL,Madison,1.516,0.046,38.819596,-90.058492,2.35%,1013,13,38,5,0,6,21,533,511,2,35.7,42,,Metro,167368,19,-2.90%,401,73000,433
Illinois|Spring Grove ,Spring Grove ,Spring Grove ,IL,Mchenry,8.8335,0.156,42.451396,-88.218838,0.27%,4915,49,206,59,6,30,62,2540,2500,1,41,45,,Metro,167422,20.5,2.80%,1738,296300,942
Illinois|Spring Valley ,Spring Valley ,Spring Valley ,IL,Bureau,12.471,0.144,41.339461,-89.222526,1.32%,2724,71,405,22,2,19,179,1425,1531,2,40.7,70,,Micro,167428,32.5,1.96%,1204,107500,700
Illinois|Springfield ,Springfield ,Springfield ,IL,Sangamon,69.0475,2.879,39.800002,-89.650312,0.14%,384,168,17,20,1,6,11,345,232,445,40.1,6783,2,Metro,167416,2767.5,0.06%,328,0,612
Illinois|Stanford ,Stanford ,Stanford ,IL,Mclean,21.564,0,40.424481,-89.208657,-11.29%,473,6,7,3,0,4,1,251,230,0,38.9,6,,Metro,167440,3,-4.01%,186,119200,829
